data,codigo,simbolo,tipo,compra,venda
7022024,220,A,USD,"4,9602","4,9608"
8022024,220,A,USD,"4,9798","4,9804"
9022024,220,A,USD,"4,9711","4,9717"
14022024,220,A,USD,"4,9717","4,9723"
15022024,220,A,USD,"4,9704","4,971"
16022024,220,A,USD,"4,9755","4,9761"
19022024,220,A,USD,"4,9579","4,9585"
20022024,220,A,USD,"4,9402","4,9408"
21022024,220,A,USD,"4,9297","4,9303"
22022024,220,A,USD,"4,9413","4,9419"
23022024,220,A,USD,"4,9845","4,9851"
26022024,220,A,USD,"4,9813","4,9819"
27022024,220,A,USD,"4,9569","4,9575"
28022024,220,A,USD,"4,9551","4,9557"
29022024,220,A,USD,"4,9827","4,9833"
1032024,220,A,USD,"4,959","4,9596"
4032024,220,A,USD,"4,9469","4,9475"
5032024,220,A,USD,"4,9482","4,9488"
6032024,220,A,USD,"4,9392","4,9398"
7032024,220,A,USD,"4,9358","4,9364"
8032024,220,A,USD,"4,9745","4,9751"
11032024,220,A,USD,"4,9771","4,9777"
12032024,220,A,USD,"4,9807","4,9813"
13032024,220,A,USD,"4,9797","4,9803"
14032024,220,A,USD,"4,9762","4,9768"
15032024,220,A,USD,"4,9931","4,9937"
18032024,220,A,USD,"5,0118","5,0124"
19032024,220,A,USD,"5,0346","5,0352"
20032024,220,A,USD,"5,0114","5,012"
21032024,220,A,USD,"4,9801","4,9807"
22032024,220,A,USD,"4,9891","4,9897"
25032024,220,A,USD,"4,9863","4,9869"
26032024,220,A,USD,"4,9864","4,987"
27032024,220,A,USD,"4,985","4,9856"
28032024,220,A,USD,"4,9956","4,9962"
1042024,220,A,USD,"5,0526","5,0532"
2042024,220,A,USD,"5,0469","5,0476"
3042024,220,A,USD,"5,0718","5,0724"
4042024,220,A,USD,"5,0231","5,0237"
5042024,220,A,USD,"5,0514","5,052"
8042024,220,A,USD,"5,0415","5,0421"
9042024,220,A,USD,"5,0074","5,008"
10042024,220,A,USD,"5,0648","5,0654"
11042024,220,A,USD,"5,0759","5,0765"
12042024,220,A,USD,"5,1358","5,1364"
15042024,220,A,USD,"5,174","5,1746"
16042024,220,A,USD,"5,2628","5,2635"
17042024,220,A,USD,"5,2463","5,2469"
18042024,220,A,USD,"5,2506","5,2512"
19042024,220,A,USD,"5,2263","5,2269"
22042024,220,A,USD,"5,2037","5,2043"
23042024,220,A,USD,"5,162","5,1626"
24042024,220,A,USD,"5,1586","5,1592"
25042024,220,A,USD,"5,1673","5,1679"
26042024,220,A,USD,"5,1178","5,1184"
29042024,220,A,USD,"5,1149","5,1155"
30042024,220,A,USD,"5,1712","5,1718"
2052024,220,A,USD,"5,1178","5,1184"
3052024,220,A,USD,"5,0662","5,0668"
6052024,220,A,USD,"5,0721","5,0727"
7052024,220,A,USD,"5,0604","5,061"
8052024,220,A,USD,"5,0881","5,0887"
9052024,220,A,USD,"5,1571","5,1577"
10052024,220,A,USD,"5,1458","5,1464"
13052024,220,A,USD,"5,1406","5,1412"
14052024,220,A,USD,"5,135","5,1356"
15052024,220,A,USD,"5,1417","5,1423"
16052024,220,A,USD,"5,1264","5,127"
17052024,220,A,USD,"5,1151","5,1157"
20052024,220,A,USD,"5,1079","5,1085"
